iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
199,286.495,1,0.0410965,0.458405,0.509239,0.0490933,1.48431,0.254314,0.153718,0.614971
200,277.904,1,0.0405691,0.4575,0.497174,0.0454137,1.52071,0.247875,0.156243,0.610282
201,287.84,1,0.0406267,0.452094,0.518927,0.0452633,1.50774,0.256966,0.152286,0.643133
202,278.305,1,0.0400635,0.456488,0.520598,0.0393789,1.52979,0.250459,0.156997,0.628183
203,275.906,1,0.0401041,0.459193,0.53674,0.0362777,1.54072,0.244117,0.153022,0.613389
204,274.445,1,0.0395089,0.457603,0.49201,0.0433745,1.54697,0.249731,0.149147,0.624153
205,280.465,1,0.0394639,0.458573,0.435118,0.0577502,1.52427,0.26488,0.150808,0.608349
206,277.838,1,0.0395571,0.461591,0.41658,0.0591257,1.56148,0.258174,0.160625,0.610676
207,276.927,1,0.0393846,0.465857,0.443773,0.0550432,1.55599,0.257323,0.156558,0.595214
208,272.164,1,0.0395627,0.46323,0.402714,0.0600549,1.55774,0.255417,0.152594,0.609333
209,274.697,1,0.0394427,0.466226,0.426463,0.0567281,1.54966,0.258935,0.14873,0.627063
210,276.297,1,0.0396325,0.470935,0.425352,0.0585741,1.59025,0.268901,0.144964,0.613092
211,277.909,1,0.0394217,0.456598,0.424361,0.0585163,1.53191,0.276481,0.141293,0.617455
212,284,1,0.0395235,0.461264,0.456914,0.0570903,1.548,0.271085,0.137716,0.612384
213,275.798,1,0.0406479,0.468255,0.464413,0.0518169,1.56507,0.264424,0.134229,0.65802
214,273.557,1,0.0394752,0.468109,0.420193,0.0587672,1.57699,0.269787,0.13083,0.641359
215,278.176,1,0.040155,0.465089,0.413815,0.0618669,1.57635,0.262956,0.138273,0.655944
216,271.832,1,0.0398706,0.470354,0.42693,0.0561815,1.59109,0.256298,0.138703,0.639336
217,279.758,1,0.0398965,0.456918,0.430134,0.0601708,1.51081,0.249808,0.139001,0.637569
218,272.739,1,0.0399444,0.461375,0.433181,0.0564781,1.52711,0.253498,0.135482,0.625963
219,269.972,1,0.0401303,0.462357,0.407658,0.0600921,1.53389,0.258088,0.132051,0.637538
220,268.958,1,0.04005,0.465116,0.4424,0.0508419,1.55742,0.264667,0.13611,0.631306
221,267.046,1,0.0397911,0.46198,0.40132,0.0584902,1.5604,0.257966,0.132663,0.660289
222,273.028,1,0.0401736,0.464638,0.394173,0.0649479,1.59388,0.260416,0.129304,0.64357
223,271.628,2,0.0398696,0.454055,0.402254,0.0607734,1.52473,0.253822,0.139798,0.63482
224,280.785,2,0.0400432,0.460945,0.499997,0.0474463,1.5237,0.247395,0.154578,0.618746
225,273.854,2,0.0397834,0.462997,0.504607,0.0411188,1.57234,0.272636,0.137925,0.601908
226,271.945,2,0.0396736,0.460546,0.490116,0.0428239,1.57412,0.256206,0.135475,0.648824
227,271.408,2,0.0403446,0.453827,0.486561,0.0434071,1.55359,0.2611,0.13082,0.646073
228,272.663,2,0.0403099,0.451647,0.499044,0.0425583,1.49865,0.267431,0.12245,0.638872
229,275.272,2,0.0403359,0.45283,0.460643,0.0526714,1.47808,0.26209,0.120046,0.619537
